user_id|session_id|vid_count|unique_vid_count|total_vid_view
60|236677|2|2|18173
60|236729|4|4|3769
60|237032|2|2|331
60|237648|11|8|1
60|238179|4|4|7210
60|238196|19|14|18779
60|238315|2|2|46
60|238317|2|2|23571
60|238647|18|18|353
60|238809|15|13|3399
60|238852|18|14|6142
60|238881|9|9|17691
60|239133|12|11|5545
60|239162|13|13|3423
60|239365|27|11|1
60|239400|9|8|5760
60|239624|58|58|1
60|240428|3|3|24219
60|240578|20|20|7716
60|240855|8|5|1145
60|240893|3|2|648
60|240932|45|42|19044
60|241169|66|64|15883
60|241230|109|103|27444
60|241303|9|5|4355
60|241496|1|1|135
60|241499|131|118|33654
60|241609|37|29|2070
60|241677|2|1|6623
60|241739|1|1|1631
60|241751|2|2|31724
60|241956|18|17|6383
60|241963|4|4|7667
60|241981|1|1|24
60|241982|1|1|14
60|241988|2|1|6289
60|242110|10|6|16301
60|242326|12|4|3067
60|242334|1|1|35
60|242335|1|1|14693
60|242387|7|7|12096
60|242704|3|2|35427
60|242893|4|3|33724
60|243075|38|32|5738
60|243231|38|33|1510
60|243244|9|4|13677
60|243282|1|1|3517
60|243301|3|3|2549
60|243311|3|3|2501
60|243393|21|21|1715
60|243423|5|4|12333
60|243444|5|5|150
60|243476|6|4|2045
60|243822|13|12|6147
60|243843|1|1|8133
60|243866|4|4|3721
60|244191|41|40|31784
60|244374|4|3|25987
60|244698|1|1|1568
60|244941|5|4|4463
60|245335|5|5|19365
60|245634|12|11|943
60|245880|12|10|7449
60|246375|9|7|1
60|246381|51|28|31733
60|246575|3|3|10767
60|246815|11|11|13966
60|246852|3|3|8558
60|247097|17|17|32388
60|247231|5|5|2385
60|247281|3|3|7881
60|247301|3|3|5235
60|247427|5|4|3331
60|247695|3|3|1
60|247756|16|13|18120
60|248078|1|1|682
60|248133|1|1|146
60|248207|2|2|1
60|248244|5|4|3483
60|248297|1|1|1555
60|248303|8|7|1
60|248401|2|2|1
60|248408|11|9|30294
60|248779|1|1|10102
60|248992|18|16|33081
60|249118|9|6|3031
60|249393|4|4|1613
60|249424|21|16|7223
60|249469|20|20|15810
60|249505|104|8|1295
60|249509|3|2|776
60|249510|1550|120|1
60|249529|216|16|564
60|249532|391|28|1
60|249536|470|33|1
60|249571|302|25|1437
60|249576|1593|134|69828
60|249596|7|5|1
60|249699|80|6|544
60|249726|8|3|8832
60|249907|2|2|25326
60|249933|1467|175|65056
60|249979|514|79|1
60|249991|523|46|1
60|249994|195|16|1
60|250024|2406|212|69597
60|250084|142|14|1521
60|250087|4|2|13915
60|250088|1933|113|14079
60|250113|104|14|2165
60|250209|632|73|1
60|250221|1379|144|1
60|250232|266|29|1
60|250484|808|81|1
60|250486|1525|147|1
60|250587|1|1|6155
60|250599|93|90|3211
60|250643|10|7|29798
60|250820|3|3|17632
60|251385|1|1|31581
60|252473|3|3|1251
60|252474|5|3|72
60|252476|3|3|1
60|253572|30|29|9369
60|253916|6|6|5047
60|253972|1|1|1
60|253983|3|3|28600
60|255184|2|2|5095
60|255516|1|1|29046
60|255788|12|5|31245
60|256074|1|1|29844
60|256266|4|4|1
60|256356|11|11|1
60|256385|21|21|8802
60|256398|66|59|1
60|256449|6|6|19968
60|262333|34|21|2281
60|263195|10|10|3549
60|356141|1|1|1
60|367902|2|2|1
60|368642|2|2|1
60|368857|7|6|1
60|368897|9|5|1
60|373583|2|2|2477
60|374506|43|14|1
60|377653|1|1|14437
60|386541|13|11|3353
60|395769|4|3|1
60|401982|1|1|18714
60|428145|2|2|1
60|432868|5|4|1
60|433303|5|3|570
60|448194|1|1|1
60|450132|4|2|1
60|463088|2|2|236
60|463487|8|5|1
60|479209|2|2|1
60|506221|1|1|1
60|506265|2|2|1
60|507524|1|1|389
60|507529|1|1|430
60|527060|2|2|22408
60|536352|9|3|1
60|542147|1|1|1
60|543764|2|2|6174
60|544966|7|2|1
60|572992|3|3|1
60|584934|4|3|985
60|590930|12|6|15335
60|595954|3|3|1
66|235633|33|32|1
66|235742|58|49|1
66|236181|4|2|1
66|236280|1|1|1
66|236652|4|2|1
66|237299|2|2|1
66|237652|2|1|1
66|238180|12|4|1
66|238731|15|9|1
66|238891|47|33|1
66|241762|1|1|1
66|242611|4|3|1
66|242961|4|3|1
66|243272|2|2|1
66|257746|2|2|1
66|258293|4|2|1416
66|258314|1|1|1
66|258328|1|1|1
66|259907|7|4|1
66|260037|1|1|1
66|260332|1|1|1
66|270289|1|1|1
68|235753|2|2|11667
68|249743|1|1|1
68|266885|2|2|4589
68|268853|1|1|240
68|268855|2|2|1
68|274032|3|3|1
71|238038|1|1|1
71|270525|7|7|1
71|286219|1|1|1
71|377496|1|1|1
71|422743|14|14|1
75|228773|3|3|1
75|229548|8|6|1
75|229652|8|8|1
75|229990|7|7|1
75|230027|1|1|1
75|230157|24|21|1
75|231978|10|8|1
75|232113|12|12|1
75|232365|12|12|8128
75|233555|3|3|1
75|235957|16|14|1
75|236148|9|7|1
75|237487|11|9|1
75|238663|4|4|1
75|238796|3|3|1
75|238939|7|6|1
75|240065|6|5|1
75|240800|49|46|1
75|241548|25|19|1
75|243658|16|13|1
75|243711|18|16|1
75|243834|2|1|1308
75|244718|31|31|17414
75|244765|1|1|1
75|244965|2|2|1
75|245767|3|3|1
75|249637|2|2|1
75|255714|8|1|249
75|255715|5|1|1
75|255739|27|24|1
75|255787|2|2|1
75|255808|6|6|1
75|255900|1|1|1
75|272259|8|7|4297
75|272264|4|4|1
75|272859|1|1|1
75|273998|32|25|1
75|274260|1|1|1155
75|274558|22|22|1
75|275229|5|5|1
75|279339|2|2|1
75|280485|6|6|1
75|280574|1|1|1
75|281052|9|9|20001
75|281149|4|4|1700
75|281155|5|5|2739
75|281160|1|1|1
75|281951|2|2|1
75|282803|1|1|119
75|282806|8|8|4433
75|283922|10|9|3503
75|283946|2|1|1
75|284225|5|5|1
75|284353|9|7|1
75|285624|2|2|1
75|285786|6|6|1
75|285884|2|2|1
75|286408|8|5|1
75|286711|25|25|5304
75|286722|14|14|1
75|312228|4|4|1
75|312274|10|10|1
75|315613|4|4|1
75|420802|1|1|396
75|448231|42|40|1
75|448736|1|1|28841
75|449140|12|12|1
75|449189|1|1|1
75|449425|6|4|1
75|449925|2|2|1
75|450078|2|2|1
75|450154|10|10|1
75|450445|20|17|1
75|450550|17|9|1
75|450594|2|2|284
75|475547|21|20|1
75|480775|3|3|1
75|480783|2|2|1
75|495906|25|23|1
75|562301|2|2|1
75|581418|6|6|975
75|583351|3|3|1
75|583439|4|3|1
75|583512|6|6|1
75|585781|25|19|1
75|588253|2|2|1
75|593970|9|4|1
75|594067|25|16|1
75|595126|1|1|1
75|596090|19|17|1
76|367655|10|10|5229
76|367786|1|1|1
76|367871|6|5|4402
78|263836|1|1|1
86|231011|1|1|1
86|231353|1|1|1
86|231900|1|1|1
86|232340|8|7|1
86|232420|2|2|1
86|232550|1|1|1
86|232775|2|2|265
86|232900|1|1|166
86|232968|2|2|322
86|233001|1|1|5514
86|233196|1|1|3159
86|233368|1|1|1
86|233411|2|2|1
86|233543|3|3|1
86|233585|2|1|1
86|233766|1|1|1
86|234072|1|1|1
86|234229|1|1|1
86|234295|8|8|3906
86|234882|1|1|1
